Weight,Diameter,Color,Supplier,Country,Season
90,5.79,Dark Red,Tomatooryx,Turkey,Spring
106,4.63,Dark Red,Obeliskmato,Turkey,Spring
126,5.31,Dark Red,Tomatosio,Turkey,Summer
195,3.16,Dark Red,Tomatosio,Spain,Fall
125,6.36,Dark Red,Tomatosio,Brazil,Fall
143,7.24,Dark Red,Tomatooryx,USA,Summer
55,3.40,Orange,Tomatoaster,Spain,Winter
136,9.47,Orange,Tomatosio,Spain,Winter
150,3.89,Red,Tomatooryx,China,Fall
188,8.76,Dark Red,Tomatooryx,Brazil,Fall
219,7.00,Red,Obeliskmato,China,Spring
94,4.98,Red,Tomatoaster,India,Spring
224,4.62,Dark Red,Tomatoaster,Brazil,Summer
156,7.23,Orange,Tomatoaster,Brazil,Fall
149,5.23,Dark Red,Tomatooryx,India,Spring
83,3.88,Orange,Tomatoaster,Spain,Summer
59,6.86,Orange,Tomatoaster,China,Fall
219,4.83,Orange,Tomatosio,USA,Winter
121,5.23,Dark Red,Tomatosio,China,Spring
138,7.32,Dark Red,Tomatoaster,Brazil,Summer
76,9.79,Red,Obeliskmato,Turkey,Summer
81,3.66,Dark Red,Tomatooryx,Spain,Summer
193,7.45,Orange,Tomatosio,Spain,Fall
106,5.46,Red,Tomatoaster,Spain,Fall
119,3.28,Red,Tomatoaster,Brazil,Winter
59,8.59,Red,Tomatoaster,Brazil,Winter
158,5.32,Orange,Tomatosio,Turkey,Summer
112,3.44,Orange,Obeliskmato,Turkey,Spring
138,8.40,Dark Red,Tomatoaster,China,Winter
180,3.65,Orange,Tomatoaster,Brazil,Fall
140,4.25,Dark Red,Obeliskmato,Turkey,Winter
79,6.18,Orange,Tomatosio,Spain,Fall
89,3.47,Dark Red,Tomatooryx,China,Spring
227,9.10,Red,Tomatoaster,Brazil,Fall
215,4.84,Dark Red,Tomatoaster,USA,Summer
131,3.76,Red,Tomatoaster,Brazil,Spring
101,4.25,Dark Red,Obeliskmato,China,Spring
230,7.58,Dark Red,Tomatosio,USA,Winter
126,5.30,Red,Obeliskmato,Brazil,Fall
72,4.52,Dark Red,Obeliskmato,Turkey,Spring
62,4.18,Dark Red,Tomatoaster,India,Summer
142,4.20,Dark Red,Tomatooryx,China,Fall
146,5.03,Dark Red,Obeliskmato,China,Summer
118,3.53,Dark Red,Obeliskmato,China,Spring
178,5.10,Orange,Tomatooryx,Brazil,Spring
117,8.32,Orange,Tomatosio,Brazil,Fall
166,8.10,Dark Red,Tomatoaster,Spain,Winter
196,6.95,Dark Red,Tomatosio,USA,Fall
206,4.89,Red,Tomatooryx,Turkey,Winter
198,8.68,Orange,Tomatoaster,Brazil,Winter
106,4.35,Orange,Tomatoaster,Spain,Winter
155,6.85,Orange,Tomatooryx,Brazil,Winter
219,5.88,Dark Red,Tomatoaster,India,Summer
52,7.19,Orange,Tomatoaster,Spain,Winter
105,7.98,Red,Tomatooryx,Turkey,Spring
211,8.99,Orange,Tomatoaster,Spain,Fall
182,7.52,Dark Red,Tomatosio,Spain,Winter
102,7.70,Dark Red,Tomatoaster,USA,Winter
56,4.17,Orange,Tomatooryx,USA,Summer
145,9.29,Dark Red,Tomatooryx,Spain,Spring
140,5.75,Dark Red,Tomatosio,Turkey,Spring
102,9.36,Dark Red,Obeliskmato,Spain,Winter
103,3.92,Dark Red,Obeliskmato,China,Spring
87,4.13,Red,Obeliskmato,India,Spring
193,5.65,Orange,Tomatosio,Brazil,Fall
131,6.33,Dark Red,Tomatoaster,Brazil,Fall
94,8.89,Dark Red,Tomatosio,China,Fall
213,5.18,Red,Tomatosio,China,Fall
88,7.70,Dark Red,Tomatosio,USA,Summer
136,5.00,Red,Tomatooryx,India,Summer
51,4.45,Orange,Obeliskmato,Turkey,Spring
138,9.43,Dark Red,Tomatosio,Spain,Fall
153,6.67,Dark Red,Tomatoaster,Spain,Spring
67,3.88,Red,Tomatooryx,Turkey,Spring
171,9.62,Orange,Tomatoaster,Spain,Summer
95,5.81,Orange,Tomatooryx,China,Spring
89,4.16,Red,Tomatooryx,India,Winter
67,7.40,Dark Red,Tomatosio,Turkey,Spring
51,3.89,Dark Red,Tomatosio,Turkey,Spring
86,3.02,Orange,Tomatooryx,Turkey,Winter
52,3.32,Dark Red,Obeliskmato,Spain,Winter
173,4.57,Orange,Tomatoaster,Brazil,Winter
177,6.45,Dark Red,Tomatosio,Spain,Summer
222,5.67,Dark Red,Tomatosio,USA,Winter
205,5.40,Dark Red,Tomatoaster,Brazil,Fall
86,7.20,Dark Red,Tomatosio,India,Spring
129,3.66,Dark Red,Obeliskmato,Turkey,Summer
200,5.52,Dark Red,Tomatooryx,USA,Winter
55,3.61,Dark Red,Obeliskmato,China,Summer
93,6.47,Dark Red,Tomatooryx,India,Summer
122,3.49,Dark Red,Tomatosio,Turkey,Summer
139,9.56,Orange,Tomatooryx,Brazil,Fall
121,6.56,Red,Tomatooryx,Turkey,Summer
95,5.42,Dark Red,Obeliskmato,Brazil,Spring
101,3.09,Orange,Tomatooryx,China,Spring
102,5.88,Dark Red,Tomatooryx,China,Spring
123,3.70,Dark Red,Obeliskmato,Brazil,Spring
145,5.99,Red,Tomatosio,China,Spring
109,8.59,Orange,Tomatosio,Spain,Winter
135,5.03,Orange,Tomatosio,USA,Winter
179,4.18,Dark Red,Tomatoaster,Brazil,Summer
99,3.20,Red,Tomatooryx,China,Spring
145,9.93,Dark Red,Tomatoaster,USA,Fall
100,6.44,Orange,Obeliskmato,Spain,Fall
145,5.53,Red,Tomatosio,Turkey,Spring
109,3.85,Dark Red,Tomatoaster,India,Spring
145,5.09,Red,Tomatosio,Brazil,Fall
173,8.58,Dark Red,Tomatosio,Spain,Summer
53,4.64,Dark Red,Tomatosio,Brazil,Summer
70,4.71,Dark Red,Obeliskmato,China,Winter
126,7.57,Orange,Obeliskmato,Spain,Fall
188,5.34,Orange,Tomatoaster,USA,Fall
122,5.64,Red,Tomatoaster,Turkey,Winter
167,5.73,Red,Obeliskmato,Turkey,Summer
196,8.71,Dark Red,Obeliskmato,China,Winter
141,6.47,Orange,Tomatoaster,Turkey,Spring
140,3.33,Dark Red,Tomatosio,Spain,Winter
173,4.22,Dark Red,Tomatoaster,India,Spring
170,5.23,Dark Red,Tomatosio,China,Winter
146,5.88,Orange,Tomatoaster,China,Fall
137,9.19,Dark Red,Tomatosio,Turkey,Summer
114,4.05,Red,Tomatoaster,Brazil,Fall
202,5.08,Orange,Tomatoaster,Spain,Fall
182,9.51,Red,Tomatoaster,India,Winter
141,5.31,Orange,Obeliskmato,India,Summer
140,5.39,Red,Tomatooryx,India,Summer
68,4.37,Dark Red,Tomatosio,Spain,Spring
194,3.84,Dark Red,Tomatooryx,Brazil,Fall
118,4.96,Red,Obeliskmato,China,Spring
109,3.98,Dark Red,Tomatosio,USA,Spring
160,6.44,Red,Tomatoaster,Brazil,Winter
165,9.09,Dark Red,Tomatoaster,Brazil,Winter
67,4.37,Red,Obeliskmato,India,Fall
128,9.81,Dark Red,Tomatoaster,USA,Winter
98,4.77,Red,Tomatosio,India,Summer
157,4.06,Orange,Tomatosio,Brazil,Fall
117,8.44,Red,Tomatosio,China,Fall
117,3.58,Orange,Tomatoaster,Spain,Winter
71,3.92,Red,Obeliskmato,Turkey,Fall
150,6.23,Red,Tomatoaster,USA,Spring
73,4.77,Dark Red,Obeliskmato,Turkey,Summer
110,8.11,Dark Red,Tomatosio,USA,Summer
55,5.77,Orange,Tomatosio,India,Spring
148,8.02,Orange,Tomatosio,Spain,Fall
122,4.31,Dark Red,Obeliskmato,China,Fall
122,7.74,Orange,Tomatosio,Spain,Fall
83,6.86,Orange,Tomatosio,Spain,Fall
141,5.53,Red,Tomatosio,Brazil,Summer
122,7.80,Dark Red,Tomatoaster,Spain,Spring
124,4.54,Dark Red,Tomatooryx,Turkey,Spring
107,9.19,Dark Red,Tomatoaster,USA,Winter
107,8.62,Dark Red,Tomatooryx,USA,Winter
99,4.83,Dark Red,Obeliskmato,India,Summer
157,5.36,Orange,Tomatoaster,USA,Summer
142,3.53,Red,Tomatooryx,Turkey,Spring
100,7.87,Red,Obeliskmato,Turkey,Spring
225,4.42,Red,Obeliskmato,India,Spring
202,5.98,Dark Red,Tomatoaster,Brazil,Summer
145,4.11,Dark Red,Obeliskmato,India,Summer
130,6.25,Dark Red,Tomatosio,Brazil,Winter
81,5.25,Orange,Tomatoaster,India,Summer
52,3.05,Red,Obeliskmato,USA,Winter
116,4.76,Orange,Obeliskmato,Spain,Winter
93,4.85,Red,Tomatooryx,China,Summer
140,4.35,Red,Tomatooryx,India,Spring
142,3.94,Orange,Tomatoaster,Brazil,Spring
145,6.23,Red,Tomatooryx,China,Spring
222,4.23,Orange,Tomatosio,Turkey,Spring
63,3.97,Orange,Tomatooryx,China,Spring
150,4.24,Orange,Tomatooryx,India,Summer
96,4.69,Dark Red,Obeliskmato,Turkey,Spring
56,5.13,Red,Tomatooryx,China,Spring
81,3.80,Red,Obeliskmato,China,Spring
207,3.92,Dark Red,Tomatooryx,USA,Summer
50,4.18,Dark Red,Tomatooryx,Turkey,Summer
86,4.91,Dark Red,Tomatooryx,China,Spring
156,8.53,Dark Red,Tomatoaster,Spain,Fall
147,3.05,Dark Red,Tomatooryx,China,Spring
124,4.30,Dark Red,Obeliskmato,Brazil,Fall
126,5.62,Dark Red,Obeliskmato,India,Spring
152,5.57,Orange,Tomatoaster,USA,Fall
190,3.11,Dark Red,Tomatoaster,India,Winter
121,7.03,Orange,Tomatoaster,Turkey,Spring
206,9.46,Dark Red,Tomatosio,India,Spring
121,4.38,Dark Red,Tomatoaster,India,Fall
208,8.35,Orange,Tomatosio,Spain,Winter
187,4.57,Orange,Tomatoaster,China,Winter
216,7.26,Orange,Obeliskmato,Brazil,Winter
129,7.95,Dark Red,Tomatooryx,China,Fall
148,9.76,Orange,Tomatoaster,USA,Fall
203,5.19,Dark Red,Tomatosio,USA,Winter
120,3.26,Dark Red,Tomatosio,USA,Fall
159,4.03,Orange,Tomatooryx,Brazil,Fall
173,9.68,Dark Red,Tomatosio,USA,Fall
206,5.31,Dark Red,Tomatoaster,India,Summer
165,9.10,Dark Red,Tomatosio,USA,Fall
87,5.34,Red,Tomatoaster,China,Fall
223,8.51,Orange,Obeliskmato,Spain,Spring
60,4.42,Dark Red,Obeliskmato,China,Summer
221,8.29,Dark Red,Obeliskmato,USA,Fall
122,3.68,Red,Tomatosio,Spain,Winter
105,7.51,Dark Red,Tomatoaster,Turkey,Fall
64,3.03,Dark Red,Obeliskmato,Turkey,Summer
206,7.63,Orange,Tomatosio,USA,Fall
57,6.77,Dark Red,Tomatooryx,China,Winter
120,5.12,Dark Red,Tomatoaster,Turkey,Winter
170,8.37,Dark Red,Tomatooryx,Spain,Spring
198,4.81,Orange,Tomatosio,Spain,Fall
159,7.09,Dark Red,Obeliskmato,China,Winter
120,5.87,Red,Tomatosio,India,Summer
175,5.63,Dark Red,Tomatosio,USA,Winter
160,8.50,Dark Red,Tomatosio,Turkey,Winter
61,5.01,Dark Red,Tomatosio,China,Spring
204,4.74,Dark Red,Obeliskmato,USA,Spring
193,5.56,Red,Obeliskmato,China,Fall
92,9.42,Dark Red,Obeliskmato,China,Fall
110,6.34,Orange,Tomatosio,Spain,Summer
124,3.14,Dark Red,Obeliskmato,China,Summer
198,5.10,Red,Tomatooryx,USA,Winter
71,8.91,Orange,Tomatosio,Spain,Fall
69,5.27,Dark Red,Obeliskmato,USA,Summer
161,7.57,Orange,Tomatoaster,Spain,Fall
110,8.79,Red,Obeliskmato,India,Winter
149,3.00,Dark Red,Obeliskmato,India,Spring
91,3.30,Red,Tomatosio,China,Spring
98,4.62,Red,Tomatosio,Turkey,Summer
123,7.58,Orange,Tomatosio,Brazil,Winter
144,5.50,Dark Red,Tomatosio,USA,Winter
228,8.18,Dark Red,Tomatoaster,Brazil,Winter
159,3.14,Red,Tomatooryx,China,Winter
86,5.95,Red,Tomatooryx,USA,Spring
211,7.97,Orange,Tomatoaster,Spain,Fall
126,3.09,Dark Red,Obeliskmato,India,Summer
191,4.21,Red,Obeliskmato,India,Spring
215,7.66,Orange,Tomatooryx,Brazil,Winter
100,5.44,Red,Tomatooryx,USA,Winter
160,7.50,Dark Red,Tomatoaster,Brazil,Winter
229,5.64,Orange,Tomatosio,Spain,Winter
142,4.41,Orange,Tomatoaster,Spain,Winter
68,5.62,Dark Red,Tomatooryx,Spain,Summer
208,5.39,Dark Red,Tomatoaster,India,Spring
137,5.14,Red,Obeliskmato,USA,Spring
71,8.48,Dark Red,Obeliskmato,China,Winter
82,4.73,Red,Tomatooryx,India,Summer
134,4.52,Dark Red,Obeliskmato,Turkey,Fall
70,3.43,Dark Red,Obeliskmato,China,Summer
195,9.83,Orange,Tomatosio,USA,Winter
64,3.85,Orange,Tomatoaster,Brazil,Fall
123,7.61,Orange,Tomatosio,Brazil,Winter
184,8.08,Red,Obeliskmato,Brazil,Fall
182,3.53,Red,Tomatooryx,China,Summer
195,6.08,Orange,Tomatooryx,Spain,Winter
118,8.66,Orange,Tomatoaster,Spain,Fall
59,5.85,Red,Tomatosio,India,Spring
221,3.18,Orange,Tomatosio,USA,Winter
230,9.64,Orange,Tomatoaster,China,Fall
163,3.26,Orange,Obeliskmato,Turkey,Winter
227,4.27,Orange,Tomatosio,Brazil,Winter
75,6.16,Dark Red,Tomatooryx,Turkey,Summer
71,8.50,Orange,Tomatooryx,India,Winter
68,5.47,Red,Tomatooryx,India,Spring
50,4.65,Orange,Tomatooryx,India,Spring
71,7.35,Orange,Tomatoaster,Brazil,Summer
173,8.20,Red,Tomatosio,Brazil,Winter
95,5.41,Red,Obeliskmato,China,Summer
96,7.40,Orange,Tomatosio,Spain,Fall
79,4.09,Dark Red,Obeliskmato,India,Summer
50,6.53,Dark Red,Tomatosio,China,Fall
67,3.44,Dark Red,Obeliskmato,India,Summer
70,7.34,Dark Red,Tomatoaster,Spain,Winter
119,3.28,Red,Obeliskmato,Turkey,Summer
144,6.96,Orange,Tomatoaster,Brazil,Fall
129,3.45,Dark Red,Tomatoaster,Turkey,Spring
56,3.31,Red,Tomatooryx,Turkey,Winter
144,7.60,Orange,Tomatoaster,Spain,Fall
92,5.83,Red,Tomatooryx,Brazil,Spring
72,5.39,Red,Obeliskmato,India,Summer
123,5.99,Dark Red,Tomatosio,USA,Spring
180,5.41,Dark Red,Tomatosio,Spain,Winter
101,6.78,Orange,Tomatosio,Spain,Winter
134,5.90,Orange,Tomatooryx,Spain,Summer
139,8.59,Dark Red,Obeliskmato,Spain,Winter
171,5.98,Orange,Tomatoaster,India,Winter
158,7.81,Orange,Tomatooryx,USA,Spring
82,3.60,Dark Red,Tomatosio,Turkey,Spring
200,4.17,Red,Tomatooryx,Spain,Summer
126,3.41,Red,Tomatoaster,India,Summer
188,9.86,Orange,Obeliskmato,Brazil,Fall
193,6.83,Orange,Tomatoaster,Brazil,Spring
203,7.70,Dark Red,Tomatooryx,USA,Spring
68,3.47,Red,Tomatooryx,India,Spring
141,9.36,Orange,Obeliskmato,USA,Winter
127,3.54,Dark Red,Tomatooryx,Brazil,Summer
125,7.17,Dark Red,Tomatosio,India,Fall
93,5.63,Orange,Tomatoaster,India,Spring
104,5.00,Red,Tomatosio,USA,Winter
56,4.15,Dark Red,Tomatosio,USA,Summer
170,3.32,Dark Red,Tomatoaster,USA,Fall
120,7.05,Orange,Tomatoaster,Brazil,Fall
147,6.90,Dark Red,Tomatoaster,Brazil,Summer
125,7.46,Dark Red,Tomatosio,Brazil,Summer
209,9.09,Dark Red,Tomatosio,USA,Fall
118,5.45,Red,Tomatooryx,India,Summer
59,7.56,Dark Red,Tomatooryx,India,Fall
149,7.70,Red,Tomatoaster,USA,Winter
80,5.48,Orange,Tomatosio,Brazil,Summer
57,4.76,Red,Tomatooryx,China,Summer
72,3.62,Dark Red,Obeliskmato,India,Winter
79,3.40,Dark Red,Obeliskmato,China,Spring
67,3.83,Red,Tomatooryx,Turkey,Summer
91,4.89,Dark Red,Tomatoaster,Turkey,Spring
113,8.42,Dark Red,Tomatoaster,Turkey,Winter
175,7.64,Dark Red,Tomatoaster,Spain,Fall
86,5.87,Dark Red,Obeliskmato,Spain,Summer
124,9.42,Orange,Tomatooryx,China,Winter
106,5.78,Red,Obeliskmato,India,Summer
142,5.84,Red,Tomatosio,Turkey,Summer
149,5.40,Dark Red,Tomatosio,China,Winter
217,5.75,Dark Red,Tomatooryx,Brazil,Fall
123,3.75,Orange,Tomatoaster,Spain,Winter
89,3.75,Red,Tomatoaster,Spain,Spring
145,8.68,Red,Tomatosio,China,Spring
91,3.64,Dark Red,Tomatooryx,Spain,Winter
222,8.47,Orange,Tomatosio,Spain,Spring
115,5.08,Red,Obeliskmato,India,Spring
155,4.52,Dark Red,Tomatoaster,Brazil,Fall
116,8.24,Orange,Tomatosio,Spain,Fall
129,7.64,Dark Red,Tomatoaster,China,Winter
66,5.76,Orange,Tomatooryx,Spain,Summer
197,8.16,Dark Red,Tomatoaster,USA,Winter
204,3.81,Orange,Tomatoaster,Brazil,Fall
184,5.24,Dark Red,Tomatooryx,China,Winter
145,8.21,Dark Red,Tomatosio,Brazil,Spring
139,8.68,Orange,Tomatoaster,Brazil,Summer
147,3.26,Dark Red,Obeliskmato,Turkey,Fall
138,6.53,Dark Red,Tomatoaster,Brazil,Fall
176,6.98,Dark Red,Tomatoaster,Spain,Summer
142,4.79,Red,Tomatooryx,Turkey,Summer
135,4.49,Red,Tomatooryx,Turkey,Summer
105,7.04,Dark Red,Tomatooryx,Brazil,Winter
218,7.86,Orange,Tomatosio,Spain,Winter
106,9.28,Orange,Tomatooryx,India,Spring
75,5.35,Dark Red,Tomatoaster,India,Summer
174,7.20,Dark Red,Tomatosio,China,Summer
126,5.86,Dark Red,Tomatooryx,USA,Winter
126,6.37,Red,Tomatoaster,China,Spring
213,5.79,Dark Red,Tomatosio,USA,Fall
163,5.23,Dark Red,Tomatooryx,Brazil,Winter
145,5.04,Dark Red,Tomatoaster,Brazil,Spring
179,3.04,Red,Tomatooryx,USA,Spring
86,5.66,Orange,Tomatoaster,China,Spring
203,7.84,Dark Red,Tomatosio,USA,Winter
95,4.25,Red,Obeliskmato,China,Spring
148,3.77,Dark Red,Tomatooryx,India,Spring
179,6.45,Dark Red,Obeliskmato,USA,Summer
138,5.84,Dark Red,Tomatoaster,Turkey,Summer
153,5.76,Dark Red,Tomatoaster,India,Fall
175,8.32,Dark Red,Tomatoaster,USA,Spring
138,3.12,Dark Red,Tomatoaster,USA,Winter
154,8.69,Dark Red,Tomatosio,Spain,Winter
68,5.26,Orange,Tomatoaster,USA,Fall
186,5.65,Red,Tomatoaster,Spain,Winter
110,3.82,Orange,Tomatoaster,China,Summer
58,5.49,Dark Red,Obeliskmato,Turkey,Summer
138,3.23,Red,Tomatooryx,India,Winter
124,4.87,Red,Obeliskmato,Turkey,Winter
145,4.24,Dark Red,Obeliskmato,USA,Fall
138,5.27,Dark Red,Obeliskmato,Turkey,Spring
63,4.04,Dark Red,Tomatosio,China,Winter
141,4.45,Dark Red,Tomatooryx,China,Spring
180,9.16,Red,Tomatosio,Brazil,Winter
128,6.99,Orange,Tomatoaster,China,Spring
117,5.71,Dark Red,Obeliskmato,India,Spring
118,4.86,Red,Tomatooryx,Turkey,Summer
84,4.28,Orange,Tomatosio,China,Summer
68,5.37,Red,Obeliskmato,Spain,Fall
103,4.55,Red,Tomatooryx,Turkey,Summer
118,4.22,Dark Red,Obeliskmato,Brazil,Summer
132,8.19,Orange,Obeliskmato,Brazil,Fall
131,9.74,Red,Tomatoaster,Brazil,Fall
210,5.22,Dark Red,Tomatosio,India,Winter
162,5.50,Dark Red,Tomatoaster,USA,Fall
197,3.58,Red,Obeliskmato,China,Summer
146,3.90,Red,Tomatooryx,India,Spring
152,8.94,Dark Red,Tomatosio,Spain,Winter
105,3.60,Red,Tomatoaster,China,Summer
63,5.44,Orange,Tomatosio,Spain,Fall
131,7.25,Red,Obeliskmato,Brazil,Summer
119,7.07,Dark Red,Tomatosio,India,Summer
140,4.69,Dark Red,Tomatoaster,Spain,Fall
229,7.76,Orange,Tomatooryx,Spain,Winter
104,5.05,Orange,Obeliskmato,China,Winter
227,5.03,Red,Obeliskmato,USA,Winter
160,6.24,Dark Red,Tomatosio,Brazil,Winter
91,9.66,Red,Obeliskmato,China,Fall
167,3.05,Dark Red,Tomatoaster,Spain,Spring
76,7.55,Dark Red,Tomatosio,USA,Winter
107,6.63,Red,Tomatosio,Brazil,Spring
100,4.35,Dark Red,Tomatooryx,China,Fall
214,5.22,Dark Red,Tomatosio,USA,Winter
120,3.84,Dark Red,Obeliskmato,Turkey,Spring
227,6.78,Dark Red,Tomatosio,Brazil,Fall
122,3.90,Red,Tomatoaster,China,Summer
83,4.16,Red,Tomatooryx,Turkey,Spring
107,8.35,Red,Tomatooryx,Brazil,Spring
63,9.51,Orange,Obeliskmato,Spain,Summer
208,5.73,Dark Red,Obeliskmato,India,Fall
150,7.83,Dark Red,Tomatooryx,India,Summer
82,8.35,Orange,Tomatosio,Spain,Fall
139,4.05,Dark Red,Obeliskmato,USA,Spring
204,5.73,Red,Tomatooryx,China,Winter
113,7.00,Dark Red,Obeliskmato,Brazil,Winter
133,4.61,Orange,Tomatooryx,Spain,Fall
204,3.79,Orange,Tomatoaster,Brazil,Fall
96,5.35,Dark Red,Tomatoaster,Brazil,Winter
144,9.39,Dark Red,Tomatosio,Spain,Spring
91,5.29,Red,Obeliskmato,China,Spring
102,3.50,Dark Red,Tomatoaster,China,Spring
176,9.25,Orange,Tomatoaster,Spain,Fall
82,8.24,Dark Red,Tomatosio,Brazil,Fall
196,3.87,Dark Red,Tomatosio,China,Spring
103,5.17,Dark Red,Tomatooryx,Turkey,Spring
181,3.21,Orange,Tomatosio,Brazil,Summer
158,9.57,Dark Red,Tomatosio,USA,Spring
78,5.01,Dark Red,Tomatoaster,China,Winter
220,5.95,Dark Red,Obeliskmato,Spain,Summer
137,4.01,Red,Tomatosio,India,Spring
121,3.79,Dark Red,Obeliskmato,India,Summer
213,8.79,Orange,Tomatoaster,USA,Winter
229,4.43,Red,Obeliskmato,Turkey,Spring
55,5.13,Dark Red,Tomatooryx,Brazil,Spring
140,5.03,Orange,Tomatooryx,China,Summer
205,8.72,Red,Obeliskmato,Brazil,Fall
103,5.80,Red,Tomatooryx,Brazil,Summer
79,4.56,Dark Red,Tomatooryx,India,Summer
127,6.34,Orange,Tomatosio,Brazil,Fall
194,5.61,Red,Tomatosio,Brazil,Spring
101,7.36,Red,Tomatosio,Spain,Spring
143,3.91,Dark Red,Obeliskmato,China,Fall
88,7.76,Orange,Tomatooryx,USA,Summer
119,7.44,Orange,Tomatoaster,USA,Winter
50,8.69,Red,Obeliskmato,Brazil,Spring
109,8.26,Red,Tomatosio,Turkey,Summer
188,5.59,Orange,Tomatoaster,Spain,Fall
102,5.85,Orange,Obeliskmato,Spain,Fall
119,7.38,Dark Red,Tomatoaster,USA,Winter
204,7.75,Orange,Tomatosio,Spain,Fall
88,8.84,Orange,Tomatosio,USA,Fall
133,9.14,Dark Red,Obeliskmato,Brazil,Summer
135,3.78,Dark Red,Tomatosio,Brazil,Fall
110,5.25,Dark Red,Tomatooryx,USA,Winter
111,4.02,Red,Obeliskmato,Turkey,Summer
132,3.77,Dark Red,Obeliskmato,China,Summer
122,5.47,Orange,Tomatoaster,USA,Fall
131,8.57,Orange,Tomatosio,Spain,Fall
130,3.13,Dark Red,Tomatooryx,China,Spring
72,8.93,Red,Obeliskmato,China,Spring
135,3.51,Red,Tomatosio,Turkey,Spring
71,8.66,Orange,Tomatoaster,Brazil,Fall
111,3.43,Red,Obeliskmato,Turkey,Winter
180,3.11,Red,Obeliskmato,China,Spring
112,3.88,Dark Red,Obeliskmato,Spain,Winter
144,9.76,Red,Obeliskmato,Spain,Winter
221,8.34,Dark Red,Tomatooryx,Brazil,Fall
87,4.70,Red,Tomatooryx,China,Winter
56,4.58,Dark Red,Tomatosio,China,Spring
118,5.49,Dark Red,Tomatoaster,USA,Fall
57,5.07,Dark Red,Obeliskmato,USA,Spring
139,3.52,Orange,Obeliskmato,USA,Winter
148,5.51,Orange,Tomatooryx,Brazil,Fall
219,4.59,Dark Red,Obeliskmato,Brazil,Summer
135,8.21,Orange,Tomatooryx,Spain,Winter
223,5.48,Dark Red,Tomatoaster,Spain,Winter
119,5.43,Red,Tomatooryx,China,Summer
122,6.39,Red,Obeliskmato,India,Spring
172,5.23,Dark Red,Obeliskmato,Turkey,Summer
64,3.29,Orange,Obeliskmato,India,Summer
72,8.60,Orange,Tomatosio,Brazil,Spring
164,3.90,Dark Red,Obeliskmato,Turkey,Winter
115,4.87,Red,Tomatooryx,India,Summer
96,7.94,Red,Obeliskmato,Brazil,Spring
128,4.75,Dark Red,Tomatosio,USA,Winter
157,5.79,Dark Red,Tomatosio,Spain,Summer
98,3.90,Dark Red,Obeliskmato,China,Spring
132,3.81,Red,Obeliskmato,India,Winter
82,8.15,Dark Red,Obeliskmato,India,Spring
133,9.66,Red,Tomatoaster,India,Winter
83,4.23,Red,Tomatooryx,India,Fall
88,5.08,Red,Tomatoaster,India,Summer
112,5.11,Red,Tomatooryx,India,Summer
159,4.82,Red,Tomatoaster,China,Spring
100,4.91,Dark Red,Obeliskmato,China,Fall
117,5.36,Dark Red,Obeliskmato,India,Spring
147,4.06,Dark Red,Obeliskmato,India,Spring
68,6.41,Red,Tomatooryx,Turkey,Winter
51,4.08,Red,Tomatooryx,China,Summer
201,3.81,Red,Tomatooryx,India,Summer
214,9.81,Orange,Tomatoaster,USA,Winter
170,5.66,Dark Red,Obeliskmato,India,Winter
117,8.46,Dark Red,Tomatosio,USA,Fall
125,8.74,Dark Red,Tomatosio,USA,Summer
220,8.30,Dark Red,Tomatoaster,USA,Spring
107,7.03,Orange,Tomatosio,Spain,Winter
125,5.01,Orange,Tomatosio,Spain,Winter
130,3.06,Red,Tomatoaster,Turkey,Winter
132,3.21,Red,Obeliskmato,India,Summer
198,9.56,Orange,Tomatosio,USA,Fall
140,5.09,Red,Tomatooryx,China,Winter
227,7.63,Orange,Tomatosio,Turkey,Winter
230,7.79,Orange,Tomatooryx,Spain,Winter
58,3.05,Orange,Tomatooryx,Turkey,Spring
142,5.08,Orange,Tomatosio,Brazil,Winter
108,9.45,Orange,Obeliskmato,Spain,Fall
142,5.83,Red,Tomatoaster,China,Spring
102,7.96,Orange,Tomatoaster,Brazil,Summer
144,3.09,Red,Tomatosio,China,Winter
117,5.20,Red,Obeliskmato,India,Spring
128,5.69,Orange,Tomatooryx,Turkey,Spring
70,5.95,Red,Tomatoaster,India,Spring
136,7.71,Orange,Tomatoaster,Brazil,Fall
185,9.16,Orange,Tomatooryx,USA,Fall
227,9.53,Dark Red,Tomatoaster,USA,Summer
109,6.80,Orange,Tomatosio,Brazil,Fall
135,8.35,Red,Tomatooryx,Brazil,Spring
222,8.78,Dark Red,Tomatosio,Brazil,Fall
198,8.70,Red,Tomatoaster,Brazil,Fall
200,9.00,Orange,Tomatoaster,Brazil,Winter
62,3.70,Red,Tomatooryx,Turkey,Spring
130,3.19,Dark Red,Tomatosio,China,Winter
228,5.00,Dark Red,Tomatoaster,China,Winter
66,3.19,Red,Obeliskmato,Turkey,Summer
102,5.36,Dark Red,Tomatooryx,India,Summer
82,3.37,Dark Red,Obeliskmato,China,Summer
114,3.44,Orange,Tomatooryx,USA,Spring
149,5.60,Red,Tomatooryx,Turkey,Summer
112,8.23,Orange,Tomatoaster,China,Fall
55,5.41,Red,Obeliskmato,India,Spring
124,5.68,Red,Tomatoaster,USA,Fall
116,9.61,Red,Tomatooryx,USA,Winter
184,5.00,Dark Red,Obeliskmato,India,Summer
